ticker,LatestQuarter,AssetType,Name,CIK,Exchange,Currency,Country,Sector,Industry,FiscalYearEnd,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Block
EQD,2022-03-31,Common Stock,Equity Distribution Acquisition Corp,1818221.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,512848000.0,,39.33,,0.0969999999999999,0.0,0.0,0.252,0.0,0.0,0.0,-0.0034,5.25,0.0,0.0,0.252,-0.486,0.0,,39.33,-,-,1.313,-,-,,9.94,9.72,9.9,9.85,41400000.0,,,
VERA,2022-03-31,Common Stock,Vera Therapeutics Inc,1831828.0,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,367454000.0,,,,4.967,0.0,0.0,-2.319,0.0,0.0,0.0,-0.2689999999999999,-0.498,0.0,0.0,-2.319,0.0,0.0,42.67,-,-,-,3.43,-,-,,37.11,13.01,19.42,20.88,26769200.0,,,
GAME,2021-12-31,Common Stock,Engine Media Holdings Inc. Common Stock,1714562.0,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-AMUSEMENT & RECREATION SERVICES,December,15164400.0,,,,1.28,0.0,0.0,-1.409,2.894,-0.487,-0.7040000000000001,-0.311,-1.971,44067400.0,-4088533.0,-1.409,0.0,0.203,6.0,-,-,0.344,0.672,0.402,-,1.153,13.4,0.775,1.349,3.13,15634900.0,2020-08-13,,
RPT,2022-03-31,Common Stock,RPT Realty,842183.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,December,1019826000.0,116490000.0,19.39,8.65,9.41,0.445,0.044,0.606,2.727,0.257,0.208,0.0157,0.0684,223779000.0,158608000.0,0.606,-0.7490000000000001,0.124,14.83,19.39,196.08,4.557,1.206,8.67,11.27,1.487,14.7,11.01,12.97,13.1,85111000.0,2022-07-01,2022-06-16,
CVII-U,0000-00-00,Common Stock,CVII-U,1828248.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,10.05,9.64,0.0,0.0,0.0,,,1.0
BHVN,2022-03-31,Common Stock,Biohaven Pharmaceutical Holding Co Ltd,1689813.0,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,10306237000.0,-356321504.0,,0.0,2.089,0.0,0.0,-11.85,11.05,-1.072,-0.708,-0.275,0.0,737538000.0,370845000.0,-11.85,0.0,6.28,153.56,-,-,13.97,31.82,13.63,-,1.197,151.51,79.01,120.42,125.74,71043000.0,,,
TVTX,2022-03-31,Common Stock,Travere Therapeutics Inc,1438533.0,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,1454475000.0,,,,3.277,0.0,0.0,-3.285,3.714,-0.885,-0.69,-0.124,-0.708,228570000.0,220706000.0,-3.285,0.0,0.023,40.56,-,-,6.36,7.38,5.87,-,0.721,31.65,12.75,25.59,26.26,63514000.0,,,
ORCL,2022-02-28,Common Stock,Oracle Corporation,1341439.0,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,May,194695643000.0,18399001000.0,27.39,1.641,1.861,1.28,0.0178,2.664,15.23,0.181,0.379,0.0875,0.106,41827000000.0,32624000000.0,2.664,-0.5,0.042,91.96,27.39,12.95,4.655,47.38,5.67,16.98,0.862,105.53,66.72,75.83,84.94,2668160000.0,2022-04-21,2022-04-07,
HY,2022-03-31,Common Stock,Hyster-Yale Materials Handling Inc,1173514.0,NYSE,USD,USA,TECHNOLOGY,"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS & STACKERS",December,660481000.0,16200000.0,,1.61,19.23,1.29,0.0338,-12.1,188.44,-0.0642,-0.0359,-0.0362,-0.441,3171100000.0,363400000.0,-12.1,-0.476,0.13,58.0,-,-,0.208,1.75,0.31,38.94,1.011,73.55,29.69,33.76,42.01,13116700.0,2022-06-15,2022-05-31,
DTM,2022-03-31,Common Stock,DT Midstream Inc,1842022.0,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISSION,December,5610572000.0,611000000.0,18.13,,40.21,1.84,0.044,3.2,8.87,0.361,0.517,0.0337,0.077,858000000.0,648000000.0,3.2,0.047,0.091,58.63,18.13,14.64,6.54,1.376,9.5,11.25,,59.36,36.79,55.56,50.58,96734000.0,2022-07-15,2022-06-16,
